,vol_dHP,vol_dBP,vol_dEE,vol_resid,ac1_resid,coup_dHP_dEE,coup_dBP_dEE,coup_dHP_dresid
2025-01-01 01:00:00,,,,,,,,
2025-01-01 01:15:00,,,,,,,,
2025-01-01 01:30:00,,,,,,,,
2025-01-01 01:45:00,,,,,,,,
2025-01-01 02:00:00,,,,,,,,
2025-01-01 02:15:00,,,,,,,,
2025-01-01 02:30:00,,,,,,,,
2025-01-01 02:45:00,,,,,,,,
2025-01-01 03:00:00,,,,,,,,
2025-01-01 03:15:00,,,,,,,,
2025-01-01 03:30:00,,,,,,,,
2025-01-01 03:45:00,,,,,,,,
2025-01-01 04:00:00,,,,,,,,
2025-01-01 04:15:00,,,,,,,,
2025-01-01 04:30:00,,,,,,,,
2025-01-01 04:45:00,,,,,,,,
2025-01-01 05:00:00,,,,,,,,
2025-01-01 05:15:00,,,,,,,,
2025-01-01 05:30:00,,,,,,,,
2025-01-01 05:45:00,,,,,,,,
2025-01-01 06:00:00,,,,,,,,
2025-01-01 06:15:00,,,,,,,,
2025-01-01 06:30:00,,,,,,,,
2025-01-01 06:45:00,,,,,-0.0750897246844387,,,
2025-01-01 07:00:00,0.5925199999999933,0.6118602999999965,0.15515905000000174,0.10188336733482828,-0.0862191548596955,0.6034441020358904,0.2110842846650488,-0.1244178756470062
2025-01-01 07:15:00,0.5870820000000094,0.633879499999999,0.16882440000000543,0.10843962060584289,-0.07119779150909054,0.5913673641091292,0.17474352326211498,-0.12709424562299892
2025-01-01 07:30:00,0.6040330000000154,0.45931429999999906,0.15515905000000174,0.10188336733482828,-0.04645516811233229,0.5895226048816298,0.17972830898670528,-0.12686518914425027
2025-01-01 07:45:00,0.583740999999975,0.48245500000000163,0.13247730000000502,0.09532711406381367,-0.03828137243552126,0.5932456717221,0.1771294922460146,-0.12587292993884835
2025-01-01 08:00:00,0.6089494999999943,0.5581672500000003,0.12992885000000243,0.0959002698210405,-0.04529132306450715,0.5554535550109047,0.12278959355727806,-0.15269188630068814
2025-01-01 08:15:00,0.640164000000027,0.633879499999999,0.13247730000000502,0.09647342557826732,-0.029490251448775893,0.5952189978566107,0.0690971082892592,-0.12547946327198659
2025-01-01 08:30:00,0.6089494999999943,0.6348408999999968,0.12992885000000243,0.09094813902992982,0.016217503250973136,0.5943464715310498,0.07149423139365005,-0.12933732611622648
2025-01-01 08:45:00,0.5886079999999936,0.633879499999999,0.12738039999999984,0.07991324864877924,0.05342881071375436,0.592854709028658,0.07006510136027341,-0.13048118707690787
2025-01-01 09:00:00,0.6089494999999943,0.5755895999999971,0.13481419999999744,0.08244771136413576,0.08925869322334376,0.610398914118242,0.04696331683110532,-0.14177358787261213
